N,P,K,temperature,humidity,ph,rainfall,label
34.59,91.53,125.58,40.94,20.81,4.53,62.87,chickpea
22.34,76.33,120.81,41.87,35.19,6.22,61.29,wheat
122.05,81.4,51.38,43.56,38.69,5.42,137.79,mothbeans
30.69,55.32,14.34,37.06,87.22,5.2,64.07,orange
136.62,16.41,194.04,41.71,65.84,8.66,259.27,wheat
47.17,32.07,67.75,18.21,52.47,6.03,181.87,wheat
25.5,138.1,93.52,16.92,87.51,5.53,123.11,lentil
110.56,62.22,27.93,10.23,82.25,7.12,39.49,maize
92.22,70.34,172.38,34.74,50.96,4.82,185.49,papaya
69.75,12.38,10.53,42.81,82.45,4.88,52.63,wheat
77.75,10.26,171.8,16.54,42.34,6.62,228.1,maize
100.69,105.41,33.06,32.29,28.43,5.96,244.77,blackgram
31.98,80.33,182.31,36.13,28.61,5.27,172.31,pomegranate
139.49,76.22,150.95,42.47,62.99,3.82,61.89,pomegranate
136.47,39.04,37.93,32.64,50.09,6.62,240.32,maize
91.05,109.27,118.16,43.96,62.72,8.4,106.19,kidneybeans
27.94,28.55,67.53,22.06,64.89,8.61,82.34,banana
95.23,31.59,40.65,22.25,11.79,4.91,151.76,watermelon
10.11,69.5,176.84,29.01,14.32,7.1,278.34,coffee
4.29,45.08,85.7,23.42,52.61,8.64,103.26,apple
36.08,39.64,84.71,10.05,25.28,5.95,273.56,muskmelon
64.77,95.33,38.98,35.61,60.6,9.09,35.02,apple
121.56,96.14,81.61,36.31,54.17,8.92,43.39,watermelon
101.8,120.43,179.32,36.14,56.86,4.75,215.6,mango
103.98,63.48,77.63,22.08,34.2,5.05,73.37,wheat
59.57,15.23,195.32,28.28,61.19,4.58,108.65,apple
48.43,43.31,194.26,22.6,76.36,4.68,58.18,rice
51.95,142.2,33.98,10.56,89.85,8.95,113.03,lentil
138.27,88.48,40.46,29.69,77.08,9.09,98.53,chickpea
5.62,104.36,177.53,14.33,54.6,3.81,226.17,lentil
121.38,6.03,83.55,12.8,25.47,7.06,216.57,banana
81.01,77.55,5.87,36.44,64.52,6.89,287.38,maize
61.41,10.25,59.77,10.33,85.01,5.84,222.84,rice
101.54,84.69,124.53,43.57,26.95,7.29,214.55,papaya
68.13,133.91,164.85,28.03,30.48,9.18,214.38,rice
122.28,140.58,31.68,44.41,21.92,4.52,267.23,papaya
126.1,80.68,27.11,12.03,68.94,4.22,102.95,chickpea
59.04,69.15,189.42,30.42,42.52,3.7,104.03,mango
38.76,137.3,155.23,22.23,15.02,5.68,227.54,grapes
82.93,99.31,122.96,39.52,80.0,5.53,84.04,grapes
127.73,14.09,158.84,22.64,54.61,6.08,275.37,maize
29.49,70.2,90.77,19.12,36.49,6.52,169.74,papaya
87.22,38.63,156.69,40.01,37.52,8.05,104.03,pomegranate
88.42,70.77,79.36,23.11,33.22,5.85,237.31,blackgram
102.64,68.77,53.82,10.59,46.44,5.48,107.45,pigeonpeas
18.42,86.5,150.8,23.66,36.96,8.46,289.72,chickpea
100.22,54.95,88.93,32.91,53.84,8.6,295.24,kidneybeans
127.26,28.0,201.28,18.9,71.88,4.9,206.7,blackgram
25.16,75.52,74.9,25.12,63.96,5.39,51.82,rice
33.26,121.23,189.35,11.99,33.56,8.45,93.7,coffee
136.0,97.96,191.59,30.58,52.3,3.98,164.32,watermelon
25.34,52.37,53.37,36.47,77.21,5.46,258.41,pomegranate
119.61,135.97,164.64,24.47,15.46,6.19,71.77,coffee
68.92,132.71,91.61,24.71,16.26,4.62,49.23,rice
34.61,34.31,188.5,13.09,54.49,4.58,40.85,apple
121.9,10.52,95.02,17.07,61.13,6.05,161.95,watermelon
62.34,108.78,153.86,15.41,26.91,8.03,267.72,grapes
72.07,120.87,98.39,26.86,69.62,8.54,31.86,blackgram
50.29,140.5,50.56,28.52,61.7,9.38,79.45,coffee
83.01,129.58,44.87,43.21,83.86,3.94,214.11,chickpea
22.89,89.07,90.09,12.56,23.52,4.8,251.24,blackgram
54.75,79.21,156.1,31.0,70.11,8.04,246.07,kidneybeans
135.72,8.9,126.01,28.43,16.69,6.74,239.82,maize
36.14,39.53,142.73,28.07,55.22,5.47,56.34,orange
91.94,69.35,61.47,40.56,54.15,4.73,131.23,blackgram
45.53,92.99,101.29,17.19,41.07,5.18,295.73,chickpea
108.29,83.02,13.88,11.43,77.57,6.08,296.89,mothbeans
18.32,108.97,168.51,33.53,10.35,4.56,188.68,rice
135.77,44.17,202.98,22.08,51.61,9.29,218.59,muskmelon
63.53,84.09,86.38,10.62,27.37,4.15,286.36,pigeonpeas
33.05,17.34,7.19,18.8,69.48,9.41,145.98,pigeonpeas
10.29,62.91,38.96,20.83,13.45,8.55,58.32,grapes
23.77,110.02,135.51,31.59,76.52,6.04,207.31,jute
72.77,102.08,127.42,16.04,77.05,7.94,288.83,kidneybeans
47.18,143.69,162.57,24.46,76.63,7.53,215.22,pomegranate
116.04,43.9,55.78,26.89,22.21,4.78,244.93,rice
60.32,74.75,157.73,26.07,60.43,5.53,138.37,coconut
34.82,51.13,142.6,44.09,11.15,6.58,47.01,lentil
86.4,66.68,69.56,11.59,77.84,7.33,67.29,rice
98.95,124.97,114.1,43.28,67.84,6.76,295.14,cotton
23.39,100.79,34.45,30.37,52.49,6.34,158.09,chickpea
23.47,128.54,95.51,37.85,68.45,6.16,23.37,mungbean
5.13,33.49,181.24,25.06,17.55,6.49,287.5,rice
103.1,127.27,89.24,25.88,52.29,6.11,159.38,mungbean
92.93,13.37,172.91,40.78,33.3,6.75,254.16,grapes
66.45,129.4,123.05,41.36,87.81,8.83,173.57,apple
118.18,51.07,43.38,18.35,78.57,7.3,48.48,blackgram
112.79,49.04,121.22,16.97,68.66,7.84,192.36,pigeonpeas
81.95,76.69,106.2,27.37,84.7,7.08,299.27,rice
121.56,136.7,84.73,41.51,37.75,7.36,29.73,coffee
28.82,11.69,28.93,21.28,82.07,6.97,255.7,coffee
15.67,54.31,88.34,32.82,36.02,3.66,85.93,blackgram
37.76,124.92,19.55,34.79,68.62,9.5,130.28,rice
7.99,60.45,24.75,37.25,68.91,3.7,124.36,grapes
74.36,32.88,88.18,29.74,11.47,5.87,271.66,pomegranate
131.12,64.47,66.08,24.09,38.88,4.13,161.26,mungbean
5.51,58.98,190.11,43.85,11.55,4.08,145.21,coffee
17.1,133.16,80.14,31.4,89.77,8.26,249.05,banana
63.31,111.67,156.57,35.5,19.78,6.06,33.69,pigeonpeas
130.74,75.72,111.05,22.07,53.42,8.31,44.21,apple
44.26,143.37,145.82,33.45,73.24,5.14,26.07,pomegranate
71.01,70.14,57.02,19.02,26.1,5.04,212.64,lentil
5.82,13.15,193.38,18.58,48.8,5.01,167.17,mungbean
20.77,41.72,111.02,35.02,58.59,7.2,265.29,banana
138.13,66.05,171.26,28.25,22.82,8.39,159.59,cotton
135.12,26.97,78.01,33.91,72.28,6.21,82.11,chickpea
0.69,137.66,25.04,19.43,33.95,5.78,245.44,cotton
133.25,112.36,139.74,30.96,26.88,9.34,102.41,cotton
89.48,42.56,6.55,25.54,54.66,4.2,281.99,mango
121.51,87.71,100.06,30.89,42.83,6.42,90.12,maize
63.66,106.0,43.56,20.18,83.62,5.95,66.96,coconut
72.18,136.78,130.48,35.04,80.41,4.09,158.13,chickpea
68.44,128.43,200.88,38.21,48.67,5.11,34.14,mungbean
93.36,77.13,97.88,19.1,38.74,3.67,30.2,kidneybeans
19.55,113.45,168.5,20.52,36.04,8.76,158.88,jute
4.2,83.7,106.56,33.14,31.41,7.15,80.23,wheat
43.11,82.38,104.17,34.35,53.56,8.39,22.62,mungbean
98.66,21.06,191.08,34.64,74.4,6.63,102.9,kidneybeans
28.26,22.66,182.99,33.89,34.86,7.1,153.66,muskmelon
94.28,79.13,162.16,23.75,25.21,7.71,130.4,cotton
135.79,42.64,64.25,23.82,48.04,8.95,57.93,watermelon
13.15,7.95,114.0,18.92,15.52,4.05,182.31,papaya
94.16,106.2,49.78,15.49,66.1,5.49,218.89,mango
62.13,9.55,93.78,34.24,51.47,7.75,209.15,pomegranate
121.54,88.34,101.84,13.26,49.71,9.25,130.25,muskmelon
24.8,80.49,171.33,42.82,34.04,9.38,58.53,orange
96.97,140.63,184.21,38.93,82.37,7.33,159.86,watermelon
117.34,72.79,87.92,40.01,17.24,4.66,269.32,pigeonpeas
132.25,13.9,8.54,41.73,79.59,4.22,151.24,mungbean
95.65,82.24,177.35,24.3,40.14,9.18,74.79,chickpea
69.6,122.75,39.86,39.63,80.45,6.1,46.05,cotton
86.5,144.56,129.38,15.53,68.3,4.67,284.3,muskmelon
121.65,65.25,9.99,10.76,18.33,9.1,228.04,cotton
79.89,49.84,84.9,37.47,76.52,4.13,107.63,pomegranate
4.25,131.93,202.19,12.62,64.57,7.88,102.7,coconut
130.33,31.77,25.14,44.6,12.58,7.25,270.66,wheat
96.53,91.16,89.74,33.62,20.7,4.03,69.72,jute
94.71,61.8,66.43,36.37,60.85,5.53,169.81,chickpea
30.19,10.75,186.02,18.6,63.01,4.4,219.78,grapes
92.24,53.62,178.87,33.59,69.73,7.13,130.99,pomegranate
55.14,42.13,52.54,11.51,67.62,6.36,31.17,chickpea
91.17,101.05,21.24,39.32,62.76,3.53,83.77,maize
14.92,137.83,130.43,15.94,71.3,9.35,272.51,jute
92.1,42.53,72.27,34.41,56.01,5.6,166.47,kidneybeans
139.92,118.61,139.42,17.86,30.86,5.05,248.32,pigeonpeas
6.75,12.75,11.42,12.4,82.99,4.83,175.59,blackgram
136.8,80.34,31.68,26.85,11.46,4.45,284.21,chickpea
56.97,14.88,142.27,15.93,39.32,9.49,274.56,mothbeans
121.91,135.76,47.47,35.53,68.31,5.27,155.21,mango
109.53,112.29,176.52,18.31,44.17,5.93,109.12,lentil
79.38,97.11,16.72,21.99,11.99,8.73,188.47,banana
103.38,120.35,48.1,29.86,15.28,7.35,208.97,lentil
122.99,95.65,204.71,19.97,61.89,5.71,159.54,pomegranate
56.58,140.65,91.62,23.23,87.19,8.89,250.24,pomegranate
45.78,104.95,145.59,38.55,54.15,8.0,71.33,jute
93.46,134.45,41.53,16.27,50.54,4.87,113.64,pigeonpeas
113.1,77.4,126.97,12.88,35.47,7.36,212.19,pigeonpeas
106.72,21.39,150.22,21.49,30.54,9.03,89.07,coconut
111.69,78.94,67.9,24.85,11.68,6.48,143.16,pigeonpeas
60.98,22.76,170.78,28.99,31.84,7.9,289.85,banana
114.5,87.95,125.68,23.03,45.93,9.33,195.25,coffee
16.83,72.55,82.82,37.65,25.84,7.64,285.74,grapes
76.23,92.16,116.53,11.38,16.99,4.11,222.28,orange
0.81,6.41,120.35,25.11,67.42,4.97,222.91,coffee
45.44,32.28,38.11,23.38,81.57,7.07,185.72,papaya
51.3,73.79,85.55,32.67,84.94,5.15,59.82,lentil
55.46,138.07,73.69,43.82,59.44,9.25,165.52,lentil
97.37,58.71,85.18,27.86,14.22,5.93,90.75,mothbeans
54.4,64.41,157.22,44.54,69.27,6.24,299.63,lentil
62.82,105.06,101.51,20.58,18.81,7.71,94.75,grapes
33.26,89.53,193.06,11.08,63.58,6.65,84.59,kidneybeans
52.26,46.85,63.74,15.8,72.35,5.79,194.69,jute
31.82,62.51,88.14,23.83,68.07,3.96,163.07,pomegranate
10.25,35.48,162.39,21.07,86.15,7.08,25.98,mothbeans
84.48,140.24,114.2,13.4,69.05,8.71,56.27,coconut
93.55,23.29,114.41,25.14,65.46,7.61,247.09,orange
86.73,57.06,15.67,21.83,30.94,5.79,155.43,pomegranate
64.89,8.62,84.72,14.29,83.98,4.27,60.88,coconut
53.17,36.05,59.15,20.36,24.36,8.4,150.27,maize
120.87,114.27,204.87,41.03,82.39,9.15,90.88,mothbeans
72.67,33.16,66.67,20.57,35.01,5.83,82.61,chickpea
67.09,16.21,181.9,34.99,20.41,7.87,288.16,papaya
3.59,71.42,140.25,31.42,76.13,5.96,121.37,cotton
47.77,6.4,73.18,24.95,10.2,6.51,33.0,orange
53.23,16.87,113.71,18.37,76.57,8.52,291.69,pomegranate
55.84,118.07,173.11,22.92,30.98,4.0,242.56,grapes
81.22,113.01,181.67,30.72,80.78,6.68,91.24,lentil
74.7,133.12,37.08,22.28,65.32,4.79,134.49,grapes
85.11,124.63,72.91,17.52,63.29,5.54,261.44,chickpea
107.08,100.64,72.04,14.08,39.23,7.37,120.08,coffee
113.82,12.33,13.41,40.79,14.75,3.66,178.87,banana
100.54,114.6,124.65,25.41,76.41,7.06,169.76,banana
133.77,123.37,175.96,31.88,23.67,5.2,132.36,wheat
2.55,116.87,81.31,27.16,39.78,7.52,199.06,pigeonpeas
27.41,76.19,153.01,40.54,58.03,4.35,152.52,kidneybeans
1.06,37.61,130.54,29.14,48.58,7.91,25.94,papaya
90.65,123.35,80.13,26.83,25.89,7.37,248.03,cotton
125.72,106.8,33.21,42.36,21.25,9.33,51.68,watermelon
34.09,142.31,146.86,35.19,19.86,8.97,149.95,lentil
129.78,26.8,175.91,13.9,79.04,5.2,182.37,mothbeans
8.44,36.59,142.17,16.22,12.52,3.66,217.54,papaya
130.82,34.65,8.58,37.55,88.16,7.43,135.02,mungbean
49.23,115.96,48.25,39.25,25.88,7.12,225.95,watermelon
14.2,31.17,18.9,29.08,18.83,3.66,56.78,coffee
68.02,14.33,119.08,29.41,56.16,4.24,202.96,chickpea
35.95,144.8,156.3,32.12,16.4,7.01,251.37,mango
39.88,8.47,27.12,25.37,58.2,8.97,269.04,kidneybeans
43.02,121.93,172.67,33.81,78.05,8.94,182.28,pomegranate
112.42,56.15,116.1,13.8,13.83,4.41,107.61,muskmelon
75.48,122.83,142.99,43.64,73.99,5.81,65.74,coconut
43.58,82.65,199.28,36.26,41.56,3.76,116.76,orange
85.45,131.23,21.74,32.09,22.76,6.32,171.19,watermelon
100.26,134.67,185.24,21.07,24.09,8.02,74.97,rice
38.17,6.27,30.22,15.63,83.5,8.24,286.7,mungbean
57.9,15.56,83.59,24.33,18.85,6.49,271.2,chickpea
17.06,40.05,175.29,33.16,79.34,4.08,29.23,blackgram
25.36,98.7,186.25,32.18,53.54,5.79,177.35,papaya
95.36,129.36,106.27,23.39,13.12,9.09,241.01,mothbeans
25.4,69.39,123.82,31.47,47.16,4.88,88.71,watermelon
73.52,89.98,146.63,38.48,75.4,5.42,166.69,maize
99.27,31.39,171.55,10.92,68.1,7.98,133.68,banana
14.96,117.7,29.3,25.77,49.1,7.9,75.03,coffee
79.42,140.43,167.01,36.55,78.8,8.97,192.13,wheat
35.92,42.6,101.26,29.12,19.63,5.83,298.23,papaya
134.81,74.28,95.12,32.8,82.8,6.59,122.28,mothbeans
67.7,17.06,89.78,28.08,77.72,6.3,174.67,pomegranate
112.84,83.28,106.84,44.72,66.66,9.07,111.8,papaya
77.03,75.39,194.01,11.91,75.43,8.12,265.55,mungbean
6.08,25.22,114.64,27.19,53.51,8.49,262.09,mango
88.64,66.89,195.64,13.2,64.01,4.3,70.06,blackgram
133.2,51.77,41.06,15.59,54.85,8.25,271.99,wheat
84.23,78.06,149.83,23.41,38.43,6.1,62.42,orange
114.69,86.99,167.45,15.44,55.51,3.64,46.72,watermelon
123.79,6.19,140.83,43.73,30.6,3.86,202.82,coffee
31.93,111.54,126.38,43.14,45.22,7.57,128.05,pomegranate
29.69,104.82,117.96,21.76,32.46,5.73,168.61,watermelon
85.54,56.28,177.19,32.39,19.83,8.71,202.72,cotton
57.54,12.41,169.33,28.68,35.75,7.91,34.79,orange
117.58,110.69,29.46,38.55,78.16,3.63,102.03,grapes
126.0,138.72,174.72,31.96,40.49,7.62,149.05,cotton
49.48,38.62,87.81,10.01,69.84,4.65,94.64,papaya
33.16,50.29,55.74,36.71,24.02,6.04,33.71,mango
109.27,30.73,178.95,36.14,43.95,7.25,44.27,muskmelon
38.47,85.77,91.4,27.84,19.19,8.74,244.49,wheat
115.17,26.68,166.67,41.6,21.09,6.24,275.19,wheat
59.32,54.87,57.68,41.8,59.39,8.35,62.63,apple
93.46,102.58,5.79,28.34,58.6,8.2,89.79,jute
13.37,83.42,104.09,31.28,27.07,5.99,202.63,jute
87.34,59.1,25.05,44.88,47.95,6.51,287.2,coconut
63.25,63.83,155.88,20.46,79.06,7.7,103.89,orange
82.13,83.7,60.22,21.36,23.94,3.69,259.46,lentil
23.52,5.82,93.73,16.4,11.54,8.84,161.69,banana
103.16,15.99,22.41,41.36,62.16,8.12,287.84,maize
120.79,128.38,62.33,36.06,14.28,5.0,58.15,pigeonpeas
30.34,15.9,161.3,13.7,88.4,9.39,292.63,coconut
13.4,103.95,35.32,44.36,58.77,4.58,143.47,kidneybeans
3.31,133.81,134.43,35.58,47.63,8.98,286.82,cotton
89.88,42.9,188.49,39.77,44.4,5.45,148.43,mungbean
84.99,56.87,140.97,11.69,55.85,8.08,168.42,orange
76.54,84.65,167.2,27.67,17.25,6.24,245.34,muskmelon
32.47,128.44,26.79,34.45,84.4,7.92,222.34,grapes
54.73,136.87,55.15,29.0,60.05,4.43,193.49,pigeonpeas
83.23,108.54,183.91,33.33,24.72,5.12,136.75,pomegranate
69.55,17.13,148.02,38.63,55.01,4.1,241.88,pigeonpeas
138.29,98.68,132.91,23.1,20.66,8.69,285.5,kidneybeans
19.1,62.44,137.75,39.7,11.4,5.28,22.75,watermelon
97.32,70.9,87.84,15.7,60.44,7.67,184.6,pigeonpeas
56.6,11.88,13.91,19.48,61.88,8.42,262.47,cotton
59.95,31.75,161.89,11.52,56.7,8.91,202.87,muskmelon
100.46,115.67,140.74,22.75,24.68,4.14,244.23,orange
96.94,68.55,99.56,23.3,58.27,8.86,270.62,cotton
138.78,47.23,184.95,38.18,14.52,4.68,230.27,rice
17.98,58.76,72.23,32.86,58.74,7.92,220.76,maize
14.58,124.62,63.86,25.29,54.32,7.87,290.13,coffee
101.41,109.86,179.56,32.82,62.42,3.55,261.83,coconut
80.97,43.12,164.4,11.85,81.64,4.82,248.31,maize
38.38,21.45,108.0,16.31,78.03,6.45,44.19,mothbeans
11.12,40.28,31.15,31.94,88.45,6.02,86.93,grapes
11.99,133.91,48.01,32.45,88.1,9.01,175.89,orange
125.19,86.42,136.25,37.09,71.79,5.66,218.68,watermelon
26.86,79.69,82.01,24.1,86.51,9.12,104.9,mango
45.27,88.5,172.29,35.29,79.38,6.26,46.13,papaya
31.73,56.24,194.99,33.94,68.21,9.29,107.11,jute
49.7,117.99,166.13,43.72,16.03,7.92,235.89,wheat
9.72,78.26,80.51,17.53,13.92,8.48,265.67,mothbeans
72.67,21.34,162.74,29.31,77.01,4.13,275.61,mango
9.47,23.07,75.29,31.06,49.17,7.02,126.08,chickpea
112.05,80.16,38.42,44.95,75.17,4.36,124.31,pigeonpeas
32.72,136.12,11.68,17.04,35.03,5.29,133.88,orange
75.6,48.17,82.14,28.31,41.81,7.24,125.23,papaya
123.21,126.74,185.71,22.12,66.01,7.86,206.54,watermelon
91.12,111.97,52.8,28.41,83.23,3.74,120.33,maize
74.61,39.69,46.3,18.12,17.02,6.69,25.7,coconut
45.41,10.09,198.96,11.67,78.92,6.89,142.93,apple
46.62,19.26,10.0,30.04,73.44,3.97,82.76,muskmelon
93.73,106.99,162.16,21.75,35.24,6.5,28.07,mango
139.18,32.95,69.27,16.37,38.42,7.78,151.84,jute
92.66,56.98,12.5,21.34,13.72,3.82,77.67,jute
78.09,75.24,188.56,11.72,11.26,8.06,146.77,coconut
102.29,106.57,32.93,43.27,48.16,6.96,97.77,mungbean
65.13,20.85,115.36,30.34,17.64,8.5,189.04,cotton
8.42,61.89,59.81,38.52,25.52,4.81,297.45,grapes
78.72,72.91,18.04,24.81,77.74,8.5,173.22,chickpea
134.07,80.72,14.98,41.62,55.68,4.07,201.13,mothbeans
24.54,119.57,28.11,26.92,60.69,5.92,277.4,lentil
96.6,29.03,19.27,30.09,25.0,4.7,124.72,watermelon
28.13,118.1,157.11,27.21,76.29,8.76,66.63,muskmelon
75.02,102.0,102.11,35.66,79.44,7.73,99.18,mungbean
13.53,82.82,73.58,29.83,51.87,3.65,132.78,wheat
63.05,102.93,88.67,19.51,83.0,3.56,200.6,apple
105.86,62.68,190.79,15.09,77.59,5.25,21.28,pigeonpeas
48.66,24.38,187.15,31.21,68.51,4.36,258.95,muskmelon
93.09,98.21,148.14,27.12,68.73,7.28,41.31,wheat
111.36,78.45,181.94,13.36,18.43,7.48,272.18,cotton
129.8,94.51,68.93,23.85,31.67,9.15,285.84,orange
32.85,52.32,81.22,28.02,15.35,9.21,297.23,pomegranate
55.9,131.96,127.74,38.94,10.69,7.45,246.66,banana
21.34,87.23,129.73,12.66,22.66,3.53,59.72,kidneybeans
138.95,16.96,101.34,22.2,80.44,5.65,217.73,wheat
129.78,67.97,85.13,38.79,29.19,6.58,76.93,jute
75.59,110.89,202.24,32.69,87.61,6.5,271.2,orange
117.88,116.18,169.22,20.15,57.78,7.12,108.65,jute
72.93,74.24,92.0,39.59,28.98,9.26,111.5,pigeonpeas
87.3,130.26,150.46,27.27,49.77,8.81,276.94,rice
12.48,42.47,58.91,27.44,27.53,4.15,23.7,blackgram
105.74,62.48,25.03,44.18,88.72,5.1,74.31,watermelon
17.88,130.8,75.49,43.15,77.78,8.5,138.14,mungbean
115.65,130.48,85.59,22.55,12.1,8.45,216.2,grapes
109.48,101.0,8.31,14.92,85.82,5.15,201.32,chickpea
99.22,125.26,167.96,21.4,67.69,7.88,207.44,mothbeans
5.06,17.43,76.84,11.07,16.59,7.53,266.41,coconut
42.44,126.1,121.08,10.73,63.65,6.34,53.89,mungbean
36.84,49.89,19.79,23.84,61.75,4.71,166.21,lentil
50.42,29.97,40.0,42.94,27.5,8.83,223.13,orange
12.27,38.51,182.94,40.5,70.68,7.57,198.11,orange
131.17,63.52,126.74,27.9,16.97,4.51,145.53,papaya
77.53,40.17,195.06,29.78,49.16,7.73,24.79,chickpea
42.77,49.88,204.75,10.21,10.79,7.95,36.93,mango
55.58,23.9,79.37,17.54,87.5,8.82,53.3,pigeonpeas
62.61,46.46,64.76,10.87,70.13,4.84,116.1,cotton
84.08,85.12,176.67,36.41,22.71,9.43,52.94,mango
72.2,66.86,204.72,15.1,37.33,4.42,139.3,coffee
128.71,53.54,130.93,40.42,22.84,7.1,70.02,jute
69.57,109.5,164.03,32.52,71.33,7.44,238.17,muskmelon
138.9,130.09,161.35,18.03,14.71,6.01,264.02,coconut
119.2,110.95,76.07,15.52,77.23,6.35,129.1,lentil
29.19,51.48,119.85,31.97,85.38,8.85,163.17,blackgram
130.28,109.22,171.61,41.53,64.13,7.37,286.98,mothbeans
16.29,26.28,142.62,35.14,27.04,6.48,169.94,apple
114.44,23.24,9.23,22.2,38.81,4.27,298.62,coconut
53.29,53.39,72.34,30.56,48.18,3.54,59.8,mothbeans
122.92,118.08,33.9,20.88,58.37,4.25,261.42,wheat
121.53,39.49,51.59,44.97,63.49,9.24,159.22,papaya
112.83,13.86,186.1,36.21,54.34,8.08,26.36,rice
110.6,23.44,12.38,31.5,38.11,9.3,292.22,wheat
42.66,125.22,48.96,24.81,81.27,3.71,290.21,kidneybeans
11.33,93.73,66.91,31.64,16.51,7.58,127.32,orange
56.42,40.45,128.38,21.96,47.3,3.77,287.16,pigeonpeas
24.29,82.74,111.82,11.01,72.05,8.19,59.48,pigeonpeas
97.29,78.86,48.65,23.83,14.87,5.79,210.43,jute
48.45,96.76,37.85,42.57,66.43,4.07,73.74,muskmelon
136.59,37.65,52.36,31.92,75.58,6.91,89.06,muskmelon
89.74,126.02,105.51,12.94,62.87,5.18,238.21,maize
115.15,48.31,59.24,40.97,11.03,7.46,125.66,maize
18.55,102.18,194.52,19.41,24.41,7.45,22.0,coffee
120.68,7.26,97.77,18.53,37.37,7.73,135.99,chickpea
129.19,57.17,16.76,20.4,28.7,9.45,83.86,pigeonpeas
68.19,54.24,150.85,30.2,87.01,5.82,211.33,maize
84.88,81.09,70.77,29.06,62.13,6.29,74.45,blackgram
107.07,15.18,135.7,27.2,33.76,8.33,255.83,maize
24.48,115.62,60.92,35.11,84.38,6.97,94.79,pigeonpeas
70.36,35.49,119.15,21.08,69.25,3.72,130.05,cotton
55.81,99.79,159.43,37.37,32.77,8.56,103.45,coconut
20.49,117.45,190.6,16.14,40.31,3.81,200.3,blackgram
51.45,83.66,57.23,37.39,25.95,4.52,48.33,watermelon
9.54,108.72,71.97,33.23,87.69,4.11,153.87,blackgram
3.61,97.66,97.85,33.91,51.38,3.97,113.65,kidneybeans
18.92,54.77,190.43,26.85,81.68,3.65,267.56,cotton
134.84,118.24,185.28,33.35,37.72,3.83,40.56,muskmelon
76.93,46.26,22.98,12.79,78.87,6.15,252.31,maize
135.22,84.97,31.39,39.8,14.31,5.02,66.95,blackgram
60.55,109.36,104.1,11.94,88.57,4.26,44.8,apple
43.65,58.05,26.32,15.21,82.96,7.45,76.65,maize
70.86,47.39,74.12,30.19,39.06,4.86,48.74,mothbeans
61.53,69.31,34.68,35.88,71.98,3.61,165.88,mothbeans
14.79,119.51,132.21,12.67,70.18,6.01,296.7,cotton
89.72,135.19,194.9,42.23,82.1,5.36,29.61,pigeonpeas
30.25,81.31,204.35,44.08,34.58,5.41,149.12,coconut
86.74,97.61,80.05,31.21,47.24,6.17,128.1,mungbean
91.03,131.46,124.8,26.84,79.2,7.51,115.09,chickpea
21.28,18.8,176.25,35.95,72.29,7.2,112.92,watermelon
8.59,37.49,28.49,21.49,41.48,9.12,270.6,pigeonpeas
109.31,104.25,142.91,27.26,77.66,6.61,25.31,muskmelon
64.37,120.32,86.77,42.07,13.76,6.34,236.98,kidneybeans
8.14,124.98,46.23,43.45,72.56,4.78,90.82,banana
139.28,63.12,85.55,42.45,26.54,8.03,127.32,grapes
8.09,17.51,20.19,19.19,32.89,4.34,137.64,pigeonpeas
97.3,66.29,144.08,18.14,49.46,6.45,105.32,maize
137.72,37.3,55.55,20.42,45.98,6.03,46.2,papaya
33.49,45.77,67.28,25.45,51.65,7.45,52.01,lentil
19.91,113.12,29.22,21.0,53.58,9.01,103.48,mothbeans
16.99,15.57,177.93,23.1,36.52,9.18,250.11,mango
42.46,120.86,103.69,31.72,24.02,4.51,57.7,rice
14.15,64.87,119.43,36.69,71.48,5.07,227.94,rice
96.9,88.45,118.89,35.74,42.0,8.37,100.88,apple
8.72,17.55,87.1,38.5,50.47,6.61,267.37,jute
71.32,52.23,43.51,11.13,61.58,6.22,139.93,chickpea
139.54,17.56,154.03,11.67,82.77,7.76,68.08,grapes
113.96,139.62,30.41,37.63,66.6,7.11,296.04,pigeonpeas
86.13,118.02,25.77,28.66,13.64,9.32,69.46,grapes
42.88,69.35,147.03,30.23,77.08,7.0,178.93,watermelon
87.35,36.3,46.77,11.84,89.15,6.3,179.4,rice
73.79,135.68,66.35,18.94,47.8,6.76,124.39,coconut
59.65,53.24,100.05,32.34,87.57,8.35,286.42,muskmelon
18.3,27.54,94.87,40.07,53.79,7.18,256.28,chickpea
124.12,83.84,146.72,42.09,46.77,7.38,252.35,wheat
62.97,137.13,129.69,27.51,36.51,9.33,292.76,rice
27.25,5.54,133.88,29.09,62.6,7.21,147.99,mango
51.49,38.34,147.81,39.16,28.39,5.78,47.21,muskmelon
57.98,136.38,63.52,28.82,18.39,7.65,234.33,mungbean
115.86,28.95,69.47,28.09,12.18,7.46,126.63,jute
102.71,20.85,92.6,41.68,33.39,3.58,73.3,chickpea
107.7,84.83,66.49,37.65,41.66,6.3,155.31,wheat
1.54,125.66,201.99,41.82,54.17,7.96,279.2,mango
58.26,71.8,167.81,17.64,33.42,6.49,67.98,kidneybeans
67.39,144.24,37.93,28.35,88.72,8.18,257.64,coffee
2.69,100.08,6.12,39.49,33.34,6.21,137.1,coconut
36.37,15.37,13.56,13.89,45.28,9.4,58.3,cotton
106.44,144.0,53.81,37.81,18.26,5.26,257.55,mango
